record_id,experiment,condition,run_id,run_path,self_source_enabled,source_degradation_mode,self_description,future_carrier,viability_depth,body_class,tool_surface,handoff,addressability,readiness,proof,valid_record,failure_class,successor_body_path,artifact_size_bytes,generated_files,generated_loc,build_attempts,tool_calls_total,tool_calls_pre_handoff,tool_calls_post_handoff,post_handoff_tasks,idle_returns,multi_wake_target,multi_wake_probes_sent,multi_wake_proofs_observed,multi_wake_ready_observed,unknown_fields
6M01-R01,6M.01,contract-source-absent-cleanroom,20260419-033328-gpt-5.4-sub2api-openai-xhigh,experiments/p6-autopoiesis/6.59-cleanroom-surface-isolation/runs/20260419-033328-gpt-5.4-sub2api-openai-xhigh,unknown,unknown,contract-only,stdin,immediate,custom-stream-body,provider-api,agent-constructed-exec,immediate,one-shot,visible-task-batch,manual-seed,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,5,0,,,,,generated_files;generated_loc;artifact_size_bytes;build_attempts;tool_calls_pre_handoff;tool_calls_post_handoff;recovery_latency
6M01-R02,6M.01,source-visible-raw-stream,20260426-160153-gpt-5.5-codex-xhigh-01-carrier-secondary-no-source,experiments/p6-autopoiesis/6.63-repaired-pressure-only-source-rebuild/runs/20260426-160153-gpt-5.5-codex-xhigh-01-carrier-secondary-no-source,unknown,unknown,source-projection,fd,immediate,fd-adapter,filesystem,agent-constructed-exec,immediate,exit,visible-task-batch,manual-seed,seed-negative-for-runtime-rebuild,unknown,unknown,3,unknown,unknown,unknown,unknown,unknown,5,0,,,,,generated_loc;artifact_size_bytes;build_attempts;tool_calls_pre_handoff;tool_calls_post_handoff;recovery_latency
6M01-R03,6M.01,source-visible-native-control,20260426-200307-gpt-5.5-codex-xhigh-01-control-probe,experiments/p6-autopoiesis/6.64-control-surface-viability-pressure/runs/20260426-200307-gpt-5.5-codex-xhigh-01-control-probe,unknown,unknown,source-projection,ctl-wake,delayed,rebuilt-runtime,runtime-tools,exec-plus-ready,delayed,idle,tool-proof,manual-seed,,unknown,unknown,unknown,unknown,1,unknown,unknown,unknown,1,1,,,,,generated_files;generated_loc;artifact_size_bytes;tool_calls_pre_handoff;tool_calls_post_handoff;recovery_latency
6M01-R04,6M.01,minimized-native-control,20260426-205457-gpt-5.5-codex-xhigh-05-bare-minimum,experiments/p6-autopoiesis/6.65-minimal-control-surface-pressure/runs/20260426-205457-gpt-5.5-codex-xhigh-05-bare-minimum,unknown,unknown,source-projection,ctl-wake,delayed,rebuilt-runtime,runtime-tools,exec-plus-ready,delayed,idle,tool-proof,manual-seed,,unknown,unknown,unknown,unknown,1,unknown,unknown,unknown,1,1,,,,,generated_files;generated_loc;artifact_size_bytes;tool_calls_pre_handoff;tool_calls_post_handoff;recovery_latency
6M01-R05,6M.01,posix-exec-stream-filter,20260427-082154-gpt-5.5-codex-xhigh-01-stream-filter,experiments/p6-autopoiesis/6.66-posix-exec-utility-baseline/runs/20260427-082154-gpt-5.5-codex-xhigh-01-stream-filter,unknown,unknown,none,stdin,immediate,standard-utility,none,agent-constructed-exec,immediate,exit,visible-task-batch,manual-seed,,unknown,unknown,0,0,0,unknown,unknown,0,1,0,,,,,artifact_size_bytes;tool_calls_pre_handoff;recovery_latency
6M01-R06,6M.01,posix-exec-stdio-filter,20260427-082148-gpt-5.5-codex-xhigh-02-stdio-filter,experiments/p6-autopoiesis/6.66-posix-exec-utility-baseline/runs/20260427-082148-gpt-5.5-codex-xhigh-02-stdio-filter,unknown,unknown,none,stdin,immediate,standard-utility,none,agent-constructed-exec,immediate,exit,visible-task-batch,manual-seed,,unknown,unknown,0,0,0,unknown,unknown,0,1,0,,,,,artifact_size_bytes;tool_calls_pre_handoff;recovery_latency
6M01-R07,6M.01,explicit-self-source-rebuild-exit,20260427-085419-gpt-5.5-codex-xhigh-00-explicit-rebuild-exit,experiments/p6-autopoiesis/6.67-self-source-rebuild-usage-baseline/runs/20260427-085419-gpt-5.5-codex-xhigh-00-explicit-rebuild-exit,unknown,unknown,source-projection,none,launch-only,rebuilt-runtime,none,agent-constructed-exec,launch-only,exit,launch-only,manual-seed,,unknown,unknown,unknown,unknown,1,unknown,unknown,0,0,0,,,,,generated_files;generated_loc;artifact_size_bytes;tool_calls_pre_handoff;recovery_latency
6M01-R08,6M.01,control-present-raw-carrier,20260501-134406-gpt-5.5-codex-xhigh-00-control-present-raw-stream,experiments/p6-autopoiesis/6.68-control-surface-present-raw-carrier/runs/20260501-134406-gpt-5.5-codex-xhigh-00-control-present-raw-stream,unknown,unknown,source-projection,stdin,delayed,custom-stream-body,shell,agent-constructed-exec,delayed,exit,visible-task-batch,manual-seed,,unknown,unknown,2,152,unknown,unknown,unknown,0,5,0,,,,,artifact_size_bytes;build_attempts;tool_calls_pre_handoff;recovery_latency
6M01-R09,6M.01,p6f-copilot-timeout-archaeology,20260427-151601-copilot-gpt-5.4-high-C01-rebuilt-quine-positive,experiments/p6f-future-addressability/6F.01-minimal-control-adapter/runs/20260427-151601-copilot-gpt-5.4-high-C01-rebuilt-quine-positive,unknown,unknown,source-projection,ctl-wake,none,failed-no-successor,unknown,unknown,none,exit,failure,manual-seed,methodological-negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,,,,,generated_files;generated_loc;artifact_size_bytes;build_attempts;tool_calls_pre_handoff;recovery_latency
6M01-R10,6M.01,p6f-new-session-persistent-successor,20260427-160259-copilot-gpt-5.4-high-C01-rebuilt-quine-positive,experiments/p6f-future-addressability/6F.01-minimal-control-adapter/runs/20260427-160259-copilot-gpt-5.4-high-C01-rebuilt-quine-positive,unknown,unknown,source-projection,ctl-wake,immediate,rebuilt-runtime,unknown,spawn,immediate,one-shot,failure,manual-seed,,unknown,unknown,1,unknown,1,unknown,unknown,0,0,0,,,,,generated_loc;artifact_size_bytes;tool_calls_pre_handoff;recovery_latency
